20:05:42 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
20:07:17 | INFO    | main | 🔌 WebSocket connected
20:07:17 | INFO    | main | 🎯 Search started: target=10 domains
20:07:19 | INFO    | scraper | 🆕 Creating new browser context
20:07:19 | INFO    | scraper | ✅ Browser started (headless=True)
20:07:24 | INFO    | scraper | 🔑 Logging in as your_username...
20:07:31 | ERROR   | scraper | ❌ Login failed — check credentials or 2FA
20:07:31 | INFO    | scraper | 🔒 Browser closed
20:24:16 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
20:24:46 | INFO    | main | 🔌 WebSocket connected
20:24:46 | INFO    | main | 🎯 Search started: target=10 domains
20:24:47 | INFO    | scraper | ♻️  Reusing saved session from auth.json
20:24:48 | INFO    | scraper | ✅ Browser started (headless=True)
20:24:48 | INFO    | scraper | 🔑 Verifying saved session...
20:24:54 | ERROR   | scraper | ❌ Session expired or invalid. Delete auth.json and run 'python auth_setup.py' again.
20:24:54 | INFO    | scraper | 🔒 Browser closed
20:27:17 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
20:27:51 | INFO    | main | 🔌 WebSocket connected
20:27:51 | INFO    | main | 🎯 Search started: target=10 domains
20:27:52 | INFO    | scraper | ♻️  Reusing saved session from auth.json
20:27:52 | INFO    | scraper | ✅ Browser started (headless=True)
20:27:52 | INFO    | scraper | 🔑 Verifying saved session...
20:27:56 | INFO    | scraper | 📍 Current URL: https://www.expireddomains.net/
20:27:56 | INFO    | scraper | 📄 Page Title: Expired Domains | Daily Updated Domain Lists for 677 TLDs
20:27:56 | ERROR   | scraper | ❌ Session expired or invalid. Delete auth.json and run 'python auth_setup.py' again.
20:27:56 | INFO    | scraper | 🔒 Browser closed
20:28:27 | INFO    | main | 🔌 WebSocket connected
20:28:27 | INFO    | main | 🎯 Search started: target=10 domains
20:28:28 | INFO    | scraper | ♻️  Reusing saved session from auth.json
20:28:28 | INFO    | scraper | ✅ Browser started (headless=True)
20:28:28 | INFO    | scraper | 🔑 Verifying saved session...
20:28:33 | INFO    | scraper | 📍 Current URL: https://www.expireddomains.net/
20:28:33 | INFO    | scraper | 📄 Page Title: Expired Domains | Daily Updated Domain Lists for 677 TLDs
20:28:33 | ERROR   | scraper | ❌ Session expired or invalid. Delete auth.json and run 'python auth_setup.py' again.
20:28:33 | INFO    | scraper | 🔒 Browser closed
20:29:28 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
20:30:32 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
20:30:56 | INFO    | main | 🔌 WebSocket connected
20:30:56 | INFO    | main | 🎯 Search started: target=10 domains
20:30:57 | INFO    | scraper | ♻️  Reusing saved session from auth.json
20:30:57 | INFO    | scraper | ✅ Browser started (headless=True)
20:30:57 | INFO    | scraper | 🔑 Verifying saved session...
20:31:00 | INFO    | scraper | 📍 Current URL: https://www.expireddomains.net/
20:31:00 | INFO    | scraper | 📄 Page Title: Expired Domains | Daily Updated Domain Lists for 677 TLDs
20:31:00 | ERROR   | scraper | ❌ Session expired or invalid. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\session_fail.png. Delete auth.json and run 'python auth_setup.py' again.
20:31:00 | INFO    | scraper | 🔒 Browser closed
20:55:50 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
20:58:13 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
20:58:43 | INFO    | main | 🔌 WebSocket connected
20:58:43 | INFO    | main | 🎯 Search started: target=10 domains
20:58:44 | INFO    | scraper | ♻️  Reusing saved session from auth.json
20:58:44 | INFO    | scraper | ✅ Browser started (headless=True)
20:58:44 | INFO    | scraper | 🔑 Verifying saved session...
20:58:51 | INFO    | scraper | 📍 Current URL: https://member.expireddomains.net/article/introduction-to-the-member-area-15109.html
20:58:51 | INFO    | scraper | 📄 Page Title: Introduction to the member area » ExpiredDomains.net
20:58:51 | INFO    | scraper | ✅ Session valid — already authenticated!
20:58:51 | INFO    | scraper | 🔍 Navigating to Deleted .com section...
20:58:59 | INFO    | scraper | 📄 Scraping page 2...
20:59:02 | INFO    | scraper |    Found 0 rows on page 2
20:59:02 | INFO    | scraper | 📄 Scraping page 3...
20:59:06 | INFO    | scraper |    Found 0 rows on page 3
20:59:06 | INFO    | scraper | 📄 Scraping page 4...
20:59:09 | INFO    | scraper |    Found 0 rows on page 4
20:59:09 | INFO    | scraper | 📄 Scraping page 5...
20:59:14 | INFO    | scraper |    Found 0 rows on page 5
20:59:14 | INFO    | scraper | 📄 Scraping page 6...
20:59:18 | INFO    | scraper |    Found 0 rows on page 6
20:59:18 | INFO    | scraper | 🏁 Scraping complete. Found 0 candidates.
20:59:18 | INFO    | scraper | 🔒 Browser closed
21:00:49 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:05:23 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:06:12 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:07:05 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:07:29 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:07:53 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:08:36 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:09:15 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:09:55 | INFO    | main | 🔌 WebSocket connected
21:09:55 | INFO    | main | 🎯 Search started: target=10 domains
21:09:56 | INFO    | scraper | ♻️  Reusing saved session from auth.json
21:09:56 | INFO    | scraper | ✅ Browser started (headless=True)
21:09:56 | INFO    | scraper | 🔑 Verifying saved session...
21:10:03 | INFO    | scraper | 📍 Current URL: https://www.expireddomains.net/
21:10:03 | INFO    | scraper | 📄 Page Title: Expired Domains | Daily Updated Domain Lists for 677 TLDs
21:10:03 | ERROR   | scraper | ❌ Session expired or invalid. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\session_fail.png. Delete auth.json and run 'python auth_setup.py' again.
21:10:03 | INFO    | scraper | 🔒 Browser closed
21:12:05 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:12:50 | INFO    | main | 🔌 WebSocket connected
21:12:50 | INFO    | main | 🎯 Search started: target=10 domains
21:12:51 | INFO    | scraper | ♻️  Reusing saved session from auth.json
21:12:51 | INFO    | scraper | ✅ Browser started (headless=True)
21:12:51 | INFO    | scraper | Keys: Verifying saved session...
21:12:52 | INFO    | scraper | 📍 Current URL: https://member.expireddomains.net/
21:12:55 | INFO    | scraper | 📍 Current URL: https://member.expireddomains.net/
21:12:55 | INFO    | scraper | 📄 Page Title: Homepage » ExpiredDomains.net
21:12:55 | INFO    | scraper | ✅ Session valid — already authenticated!
21:12:55 | INFO    | scraper | 🔍 Navigating to Deleted .com section...
21:12:58 | INFO    | scraper | 📍 Final search URL after filters: https://member.expireddomains.net/deleted-com-domains/
21:12:58 | INFO    | scraper | 📄 Scraping page 2...
21:13:01 | WARNING | scraper |    ⚠️ No rows found on page 2. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p2.png
21:13:01 | INFO    | scraper |    Found 0 rows on page 2
21:13:01 | INFO    | scraper | 📄 Scraping page 3...
21:13:05 | WARNING | scraper |    ⚠️ No rows found on page 3. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p3.png
21:13:05 | INFO    | scraper |    Found 0 rows on page 3
21:13:05 | INFO    | scraper | 📄 Scraping page 4...
21:13:07 | WARNING | scraper |    ⚠️ No rows found on page 4. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p4.png
21:13:07 | INFO    | scraper |    Found 0 rows on page 4
21:13:07 | INFO    | scraper | 📄 Scraping page 5...
21:13:11 | WARNING | scraper |    ⚠️ No rows found on page 5. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p5.png
21:13:11 | INFO    | scraper |    Found 0 rows on page 5
21:13:11 | INFO    | scraper | 📄 Scraping page 6...
21:13:14 | WARNING | scraper |    ⚠️ No rows found on page 6. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p6.png
21:13:14 | INFO    | scraper |    Found 0 rows on page 6
21:13:14 | INFO    | scraper | 🏁 Scraping complete. Found 0 candidates.
21:13:14 | INFO    | scraper | 🔒 Browser closed
21:13:48 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:14:17 | INFO    | main | 🔌 WebSocket connected
21:14:17 | INFO    | main | 🎯 Search started: target=10 domains
21:14:18 | INFO    | scraper | ♻️  Reusing saved session from auth.json
21:14:18 | INFO    | scraper | ✅ Browser started (headless=True)
21:14:18 | INFO    | scraper | Keys: Verifying saved session...
21:14:19 | INFO    | scraper | 📍 Current URL: https://member.expireddomains.net/
21:14:23 | INFO    | scraper | 📍 Current URL: https://member.expireddomains.net/
21:14:23 | INFO    | scraper | 📄 Page Title: Homepage » ExpiredDomains.net
21:14:23 | INFO    | scraper | ✅ Session valid — already authenticated!
21:14:23 | INFO    | scraper | 🔍 Navigating to Deleted .com section...
21:14:26 | INFO    | scraper | 📍 Final search URL after filters: https://member.expireddomains.net/deleted-com-domains/
21:14:26 | INFO    | scraper | 📄 Scraping page 2...
21:14:30 | WARNING | scraper |    ⚠️ No rows found on page 2. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p2.png
21:14:30 | INFO    | scraper |    Found 0 rows on page 2
21:14:30 | INFO    | scraper | 📄 Scraping page 3...
21:14:33 | WARNING | scraper |    ⚠️ No rows found on page 3. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p3.png
21:14:33 | INFO    | scraper |    Found 0 rows on page 3
21:14:33 | INFO    | scraper | 📄 Scraping page 4...
21:14:37 | WARNING | scraper |    ⚠️ No rows found on page 4. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p4.png
21:14:37 | INFO    | scraper |    Found 0 rows on page 4
21:14:37 | INFO    | scraper | 📄 Scraping page 5...
21:14:41 | WARNING | scraper |    ⚠️ No rows found on page 5. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p5.png
21:14:41 | INFO    | scraper |    Found 0 rows on page 5
21:14:41 | INFO    | scraper | 📄 Scraping page 6...
21:14:44 | WARNING | scraper |    ⚠️ No rows found on page 6. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p6.png
21:14:44 | INFO    | scraper |    Found 0 rows on page 6
21:14:44 | INFO    | scraper | 🏁 Scraping complete. Found 0 candidates.
21:14:44 | INFO    | scraper | 🔒 Browser closed
21:21:29 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:21:58 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:31:08 | INFO    | main | 🚀 Starting Domain Searcher on 0.0.0.0:8000
21:31:30 | INFO    | main | 🔌 WebSocket connected
21:31:30 | INFO    | main | 🎯 Search started: target=10 domains
21:31:52 | INFO    | scraper | ♻️  Reusing saved session from auth.json
21:31:53 | INFO    | scraper | ✅ Browser started (headless=True)
21:31:53 | INFO    | scraper | Keys: Verifying saved session...
21:31:57 | INFO    | scraper | 📍 Current URL: https://www.expireddomains.net/login/
21:32:00 | INFO    | scraper | 📍 Current URL: https://www.expireddomains.net/login/
21:32:00 | INFO    | scraper | 📄 Page Title: Login
21:32:00 | INFO    | scraper | ✅ Session valid — already authenticated!
21:32:00 | INFO    | scraper | 🔍 Navigating to Deleted .com section...
21:32:03 | INFO    | scraper | 🚀 Submitting filters...
21:32:07 | INFO    | scraper | 📍 Final search URL after filters: https://www.expireddomains.net/login/?signup=1
21:32:07 | INFO    | scraper | 📄 Scraping page 2...
21:32:11 | WARNING | scraper |    ⚠️ No rows found on page 2. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p2.png
21:32:11 | INFO    | scraper |    Found 0 rows on page 2
21:32:11 | INFO    | scraper | 📄 Scraping page 3...
21:32:14 | WARNING | scraper |    ⚠️ No rows found on page 3. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p3.png
21:32:14 | INFO    | scraper |    Found 0 rows on page 3
21:32:14 | INFO    | scraper | 📄 Scraping page 4...
21:32:17 | WARNING | scraper |    ⚠️ No rows found on page 4. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p4.png
21:32:17 | INFO    | scraper |    Found 0 rows on page 4
21:32:17 | INFO    | scraper | 📄 Scraping page 5...
21:32:20 | WARNING | scraper |    ⚠️ No rows found on page 5. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p5.png
21:32:20 | INFO    | scraper |    Found 0 rows on page 5
21:32:20 | INFO    | scraper | 📄 Scraping page 6...
21:32:24 | WARNING | scraper |    ⚠️ No rows found on page 6. Screenshot saved to C:\Users\Alex\OneDrive\Рабочий стол\Agents\Scripts\domain_searcher\search_fail_p6.png
21:32:24 | INFO    | scraper |    Found 0 rows on page 6
21:32:24 | INFO    | scraper | 🏁 Scraping complete. Found 0 candidates.
